French,English
histoire,history
police,police
pensais,thought
aide,help
demande,request
mois,month
laisser,let
car,because
mettre,to put
eux,them
parlé,speak
arrivé,come
devrait,should
bébé,baby
longtemps,long time
heures,hours
vont,will
revoir,meet again
aucune,any
parle,speak
compris,understood
savais,knew
étaient,were
attention,Warning
voici,here is
donner,give
type,type
corps,body
façon,way
dont,whose
main,hand
vieux,old
tiens,here
matin,morning
point,point
venu,came
venez,come
minutes,minutes
demandé,request
chambre,bedroom
mis,placed
droit,law
aimerais,would like to
aujourd'hui,today
mari,husband
cause,cause
attendez,Wait
parti,left
nouvelle,new
terre,Earth
croire,believe
chérie,sweetheart
gros,large
plutôt,rather
aura,will have
filles,girls
jouer,to play
bureau,office
